关键词,博文
防疫,#沈铁微分享#  【#男子组志愿团队为防疫人员送饭# ：自费和筹款，尽自己的力量】3月31日，河南周口。太康的一名工厂老板徐先生组织志愿团队，走街串巷为一线防疫人员送饭。徐先生称，他的工厂停工，他就利用工厂员工食堂，为一线工作人员还有滞留当地的卡车司机送饭，费用是自费和筹款的方式，也是想贡 ​  展开c
防疫,"
                    【是驻守干部，也是疫情期间社区、居民贴心人：送物资、助检测、值夜送餐都能干】抗击疫情，守护家园，没有一个人能够置身事外。当前，面对全市疫情防控艰巨任务，城关区广武门街道省市区三级机关驻守干部们闻令而动、冲锋在前，投身疫情防控一线，全面做好摸排登记、重点人员管控、核酸检测、防疫消杀 ​  展开c"
防疫,"
                    【防疫不忘困难群众，贴心关怀温暖人心】3月30日，白银路街道安定门社工委联合市级驻守干部为临时管控单元内的特困群众、低保户送来生活物品、防疫物资和慰问金，确保困难群众安稳度过疫情，将温暖送到群众心坎里。兰州日报社全媒体记者 任泽昕  L兰州晚报的微博视频 ​                "
防疫,"
                    【#清明#出行需注意！深圳出行防疫政策已更新！】目前，乘坐公共交通离深旅客需持48小时内核酸检测阴性证明登机（上车），并扫场所码亮码。国内中高风险地区和有阳性病例报告的地区来深航班、火车和长途客车旅客，需持48小时内核酸检测阴性证明登机（上车），同时接受落地核酸检测。深圳最新出行防疫政 ​  展开c"
防疫,"
                    瘦身美女太痴情，减肥成功忘了形。虾吃虾涮瞎逛游，迷了男人毁了城。一朝出门想买菜，门卫保安黑脸迎。中高风险一划定，行人匆匆原地停。疫情防控无小事，圣城防疫一定赢。#曲阜疫情# ​                "
防疫,"
                    本表统计时间截至2022年3月30日，谨供参考。具体以当地防疫部门通知为准。 ​                "
防疫,"
                    【Twitter】Monsta X 李玟赫-任昌均确诊感染新冠，两人都已接种完第三次新冠疫苗，除轻微咽喉痛外没有其它症状，目前已中断所有日程，正在根据防疫当局指针居家治疗中。李玟赫 任昌均 ​                "
防疫,"
                    【正在直播】防疫志愿者赶快码住！！疫情防控志愿服务系列培训（第三场）正在开讲！！！由上海海洋大学新时代文明实践与志愿服务研究中心张祖平教授来讲解，防疫志愿者该如何安全有效地开展志愿服务。志愿同心，战“疫”有我！让我们用志愿之心，一起守“沪”。愿云开“疫”散，我们能重识在春风里。 ​  展开c"
防疫,#清明防疫严防一刀切##河南部分高校加强封闭管理调整清明假期# 不应该是加强防控然后早日解封吗，怎么越封越上瘾? ​                
防疫,"
                    【吉林市建立生活物资中转站】3月31日，据吉林市召开的疫情防控工作新闻发布会，吉林市在吉草高速磐石市烟筒山服务区建立了防疫生活物资中转站，自3月27日19时启动以来，对31辆外省运输车辆开展了中转服务，今天凌晨3时，辽宁省援助的第二批蔬菜到达中转站，凌晨4时20分完成了分组。#吉林疫情#  ​  展开c"
防疫,#疫情当前警察不退#【白银市公安局白银分局西区派出所民警高维旭：社区防疫勤宣讲】                
防疫,#初筛阳性仍乘坐动车至莆田车站#这也太魔幻了吧！？初筛都阳性了也没人管，居然还能去坐动车，健康码也没变色，那这健康码用来干啥用的……不过这位仁兄也是，疫情期间大家都要主动配合每个社区、每个城市的防疫工作，这是对自己负责，也是对大家、对整个社会负责…… ​                
防疫,#上海官方诚恳接受大家批评#我十八线小城即使封城也来支援上海了，只希望上海把防疫做好，别再外溢了 L平凡的虫儿的微博视频 ​                
防疫,#上海官方诚恳接受大家批评#前期确实估计不足，希望后面能赶紧改进，不但要防疫，更要做好老百姓的生活后勤保障！特殊时期，才是真正考验一座城市的综合治理水平… L张胜军的微博视频 ​                
防疫,#湖北民族大学清明五一端午不放假#学校领导坚持维稳政策不作为，防疫管控一刀切，领导学生两个肺，外国友人自由进出，校园随处可见赏花阿姨小朋友！我可真是来了个好大学 ​                
防疫,"
                    【排队超仨小时！爱马仕河南首店开业】3月30日，爱马仕郑州丹尼斯大卫城专卖店正式开幕。据悉，爱马仕入驻郑州是河南首店，也是内地第26家、华中区第3家店面。按防疫要求，该店门前贴上了一米间隔标志，有工作人员提醒消费者间隔排队。下午五点左右，队伍几乎排到4号门门前，“下午一点半就来了，已经 ​  展开c"
防疫,"
                    致关注@李大奔_ 「野望」全国巡演的乐迷朋友们:李大奔#李大奔全国巡演# 因疫情形势严峻，根据各地疫情防控要求，为配合各级部⻔做好防疫工作，保障观众及演职人员的安全健康，我们非常遗憾的通知大家，李大奔「野望」全国巡演【⻓沙站】【郑州站】【武汉站】【上海站】演出延期，具体延期时 ​  展开c"
防疫,#四川疫情##成都至上海一高铁出现确诊病例# 严格防疫的政府 遵守规范的市民 没有疫情也老老实实被关在学校里一个多两个月的大学生 就因为某地外溢 不但大家的努力全白费甚至还帮忙背锅沪联网就是诚不欺我 ​                
防疫,#烟台疫情#有没有能告诉我，为啥上海回来的人不隔离？东营这里不管是不是从疫情地回来的一律隔离，烟台是没有相应的防疫政策吗 ​                
防疫,"
                    精准防疫本身是对的，比如说我们浙江省搞的那个防疫三区，实际也是精准防疫的一种模式，效果也不错，找到了疫情防控和经济发展的平衡点！但为什么这次上海市情况这么严重呢，我个人觉得是上海市的应急反应和流调慢了半拍，这对精准防控来说是比较致命的！我们在以浙江省宁波市为例，宁波市海曙区今 ​  展开c"
防疫,#3月30日新增本土无症状6651例#疫情发生后，南昌市红谷滩区消防大队20名女消防员自发组成帮扶小组，奋战在抗疫一线上。从清晨到日落，每个防疫驻点，都有她们忙碌的身影。她们是榜样，更是我们消防救援队伍的骄傲！#吉林新增本土确诊1340例# L南昌消防的微博视频 ​                
防疫,"
                    如果疫情防控是一场闪电战，只要“撑过去”就会好，那所有人都有勇气去咬牙坚持。但疫情已经来到第三个年份，最新进化出的奥密克戎变种传染性空前强大，我们不得不采取更加严格的防控措施才能阻断它的传播。与此同时，疫情后本来就生活艰难的老百姓，变得更加艰难。常态化的防疫，大面积的封闭管控 ​  展开c"
防疫,"
                    【防疫小贴士】洗手有讲究，疾控专家手把手教你七步洗手法↓↓ L云南发布的微博视频 ​                "
防疫,"
                    【#吉林回应市民买菜难问题#】#疫情之下为何买菜难# 记者从今天(31日)召开的吉林市疫情防控工作新闻发布会上获悉，吉林市疫情管控提级以来，特别是3月28日全城蔬菜出现了紧缺状态。目前，市民普遍反映“买菜难”，主要原因是实施防疫封控管理后，保供企业、物流企业人员不能全员到岗，运力不足；大型社 ​  展开c"
防疫,"
                    【他们把家安在了抗“疫”一线】#疫情当前 警察不退# 近日，上海。居住在杨浦舒兰社区的居民们纷纷开展核酸抗原自测，但小区里独居老人较多，大多不会使用采样包。在防疫的关键时刻，杨浦公安分局延吉新村派出所民警高云兰一家三口齐上阵，耐心提供帮助，协助老人顺利完成检测，老人们也对他们一家 ​  展开c"
防疫,"
                    河北宣化这防疫措施真是让老百姓有家难回。政府的要求百姓理解也愿意配合，但是不能搞一刀切，这样的态度让百姓感到无奈。进宣化要12小时核酸阴性证明，除了张家口地区之外的市县均不能入宣，否则劝返，远路返回，或直接隔离。（意思是外地的别来）那要健康码还有何用？我们张家口区县每周到北京工作通 ​  展开c"
防疫,"
                    话都是你们说的～没有封城，不必封城～这么严峻，就封了一个奶茶店～胡锡进说，就算上海这样了～他觉得上海不是逞能！他还写了一篇饱含深情的小作文表白～现在呢？上海宣布全域静态管理，全民核酸筛查～这些专家，学者又作何感想？防疫优等生，被这些流量大神坑了！你🈶什么想说的呢？ ​  展开c"
防疫,#上海官方诚恳接受大家批评#我理解不了，济宁明明没有疫情，为了预防还是提前封校半个月，停掉了快递派送。眼瞅着封校半个多月马上能放宽一点可以拿快递了，又因为上海外溢病例打破了两年无新增的纪录。本来被封在学校里很有安全感，学校准备也都很充分，物资备的也很充足。但看到上海的防疫政策我还是 ​  展开c
防疫,"
                    【瑞士取消所有防疫限制措施】瑞士政府当地时间3月30日确认，从4月1日起，瑞士将取消所有剩余的防疫限制措施。这也意味着从4月1日起，在公共交通工具和医疗机构中，人们将不再被强制要求佩戴口罩；确诊新冠的人员也将不再需要强制隔离五天。自新冠疫情暴发以来，瑞士已有348万人报告新冠病毒检测结果 ​  展开c"
防疫,#防疫科普#【#当前防疫重点来啦#！】疫情防控形势严峻，个人防护不能松懈当前这些“防疫”重点，请大家牢记，让我们同心协力，齐心抗疫！ ​                
防疫,"
                    上海本次疫情防控获得很多批评，但从另外一个方面说，股民基民们最不应该批评上海的防疫，都懂？~ ​                "
防疫,"
                    【防疫抗疫丨实战演练促提升 群防群控战疫情】当前新冠肺炎疫情发展形势严峻，为进一步做好火车站疫情防控及安保工作，有效提升队伍涉疫应急处置能力，不断提高队伍实战能力，近期，@长沙铁路公安处 各所开展模拟涉疫警情处置演练。众志成城，科学应对，群防群控，战胜疫情。 ​                "
防疫,#数智移动 实事为民#近日，新型冠状病毒的不断扩展和蔓延，全国各地多点散发，形势严峻。安徽移动萧县分公司为更好地满足患者就医需求，全面落实疫情防控常态化要求，充分发挥科技防疫优势，为萧县县城医院及下设乡镇卫生院新增16台安康码智能闸机装置。该系统利用人工智能和大数据技术与“皖事通”接 ​  展开c
防疫,"#疫情防控#【想卖多少卖多少？严禁哄抬物价！济南市场监管发布提醒告诫书】全市各商场、超市、农贸市场、行业协会及有关经营者：

　　为认真落实好全市疫情防控的部署要求，依法规范市场价格行为，确保市场供应平稳、交易秩序良好，将我市防疫用品及粮油肉蛋菜奶等群众生活必需品价格稳定在合法、合 ​ 展开c"
防疫,#疫情中的守沪者# 【微光聚而成炬！谁说站在光里的才算英雄】当防疫“集结号”吹响，奉贤司法行政人闻令而动、迅速响应，他们枕戈待旦奋战在“疫线”，用实际行动诠释“法治为民”的初心，打响了疫情防控攻坚战；他们无惧向前坚守在“战场”，用义无反顾诠释“司法蓝”的担当，成为“疫线”最亮丽的风 ​  展开c
防疫,#疫情防控##疫情当前 警察不退# 【私自撕掉防疫封条，拘！】义县瓦子峪镇碾盘沟村村民刘某福因在外打工，在疫情高风险地区停留，其返锦后，被疫情防控指挥部安排居家隔离，2022年3月27日15时许，居家隔离人员刘某福私自将镇政府疫情防控部门张贴的封条撕掉并外出，防疫人员发现后，立即报告公安机关， ​  展开c
防疫,#福建多地出现上海关联病例#上海有点离谱了，福建莆田一例确诊，在上海初筛已经阳性的情况还能乘坐动车回到福建来，短短两天就让周围10人感染，密接200多人，查了防疫政策，已知3月12日起，离沪需要48小时核酸阴性报告了，那么请问乘客是如何通过火车站门口的检查进入车站的呢？@上海发布 防止外溢啊喂 ​  展开c
防疫,"
                    【#男乘客拒戴口罩强行闯卡被拷走# ，称“疫情就是我传染的”】3月30日，网友爆料，河南周口一名男乘客不带口罩并不配合防疫工作， 并将递给他的口罩扔掉，想要强行闯卡，并称“疫情就是我传染的”到天津、北京我都不害怕”。警察和众人再三劝阻后，男子最终被警方带走。（来源：@猫头鹰视频）  ​  展开c"
防疫,#华南理工大学防疫#再不解封我跳楼 ​                
防疫,"#六盘水发布# 【水城区双水街道开展新一轮疫情防控工作】疫情就是命令，防控就是责任。为进一步做好新一轮疫情防控工作，水城区双水街道从严落实各项疫情防控措施，科学精准，全面筑牢防疫安全防线。

3月30日，双水街道组建以社区为单位疫情防控工作小组，开展各项疫情防控工作，切实发挥基层党组织战 ​ 展开c"
防疫,#辛巴公司向泉州捐300万元抗疫物资#近日，福建泉州疫情爆发，防疫物资告急。3月31日，辛选集团创始人、头部主播辛巴辛有志捐赠的300万疫情防控物资已经陆续抵达泉州。据悉，此前3月8日，辛有志宣布捐赠500万元物资驰援吉林。去年10月11日，辛有志为山西暴雨受灾地区捐款500万元。 ​​​                
防疫,#齐鲁理工学院分发防疫福袋 ##山东高校抗疫日记# 齐鲁理工的温柔牢牢把握住了!🎥 |@夜访吸血鬼A L济南校园的微博视频 ​                
防疫,"
                    你在你的国，过着一种防疫的伤害大于疫的生活 ​                "
防疫,"
                    假如……仅仅假如哈：病毒确实已经弱化，几乎不会死人了，然后国家决定取消防疫管控，把病毒当流感处理。这是谁输了？公知们会欢呼，称中国最终也放弃清零了，是“科学战胜了政治”，你清零了两年，最后不还是躺平了，和我大米大嘤一样了？咦，怎么会一样呢？你大米已经死了100万人，我比你少 ​  展开c"
防疫,#公益体彩 乐善人生# 【安徽体彩淮南分中心开展疫情防控志愿服务活动】近日，安徽凤台突发疫情，全市防疫形势严峻。3月28日上午，安徽体彩淮南分中心党支部书记朱向海号召分中心党员干部、业务骨干组成志愿者服务队，赴田家庵区国庆街道金豪社区中山园小区，积极参加社区防疫活动。  ​  展开c
防疫,"
                    【#世卫组织称赞中国防疫措施#：相信中国政府将让民众得到最大程度的保护】当地时间3月30日，世卫组织举行新冠肺炎例行发布会，世卫组织卫生紧急项目负责人迈克尔·瑞安表示，中国采取了非常强有力的措施遏制疫情，感染率、死亡率和住院率都非常低，即使在新冠肺炎大流行期间，中国的经济和社会也可以继 ​  展开c"
防疫,"
                    【#美国学校用胸卡监控学生# 实时位置、和谁接触一览无余】校方称为了防疫还记得被班主任趴后门监视的恐惧么？科技时代，老师们也不用这么麻烦了。美国老师现在拿个平板电脑就可以监控每个同学的一举一动。首先，学校会要求学生佩戴一个胸卡或徽章，其实就是跟踪装置了。班里谁在谁不在，每个 ​  展开c"
防疫,#汕头大学防疫##汕头大学防疫双标# 是谁在碰瓷我们封校时长【断层top】的汕头大学🤚🏽让一让 请你让一让🔥校纪无需亮眼part加成 人气不靠知乎控场营造假象🥺封校只有学生受苦🎉 辅导员说“看来你们自己还没有完全理解非必要不外出！”🥰监狱天花板 夹生米饭入股不亏🌸 ​                
防疫,#汕头大学防疫#b站～～～ ​                
防疫,#甬抗肺炎#【#今起城铁宁波站出站口增加行程卡查验#】据了解，根据疫情防控需要，从即日起，城铁宁波站出站口增加行程卡查验。请出站旅客提前准备好行程卡，自觉维护好秩序，接受防疫人员的核查。（甬上） 2宁波 L西门町吃在宁波的微博视频 ​                
防疫,#上海新增确诊355例无症状5298例#上海zf防疫工作做的最好的一个区就是评论区吧 ​                
防疫,#珠海师生离珠须学校批准#倒是让我走出校门啊？防疫跟监禁一样疯球了吧 ​                
防疫,"
                    【丈夫逆行浦东坚守 妻子带着两娃抢不到菜怎么办？】上海电台防疫服务热线接到听众莫先生来电说自己#逆行# 浦东坚守岗位，放心不下家中妻儿。居委接到消息，给莫先生家人送去一份温暖的支撑。#上海战疫# #上海加油# L话匣子FM的微博视频 ​                "
防疫,#海南大学防疫#那要不直接杀了我吧海南大学，我是你的学生还是你的韭菜？ ​                
防疫,#海南大学防疫#实在不行放大家回家上网课吧！绿码在坐牢，红码到处逛？？孩子已经在宿舍自言自语好多天了  再这样下去估计要爱上舍友了！我真的会谢！求求放了我们吧 ​                
防疫,#汕头大学防疫#地点在新敬一114！！ ​                
防疫,"
                    四月是日本各学校的开学季，为了让大家安心顺畅地踏上赴日留学之旅，#国泰航空# 与@香港快运航空HKExpress 在4-5月特别增开前往东京的CX5848及CX5806代码共享航班。除此之外，我们每个月固定前往#东京#和#大阪#的航班也在正常运作。当然，出行前的防疫要求和旅行证件等出行指南，我们也贴心地为大家整 ​  展开c"
防疫,湖北师范大学搞笑，这个视频也被搞了#湖北师范大学 防疫#  ​                
防疫,"
                    我发现最近很多人都把香港疫情爆发主要就是在于市民不守规矩呆在家里有事没事都出门，甚至有人开始骂香港市民自己不负责任，不关政府的问题。在这里我想跟大家说一下什么叫「自律」什么叫「法律」首先在香港，是没有法律规定不能出门的那再不违反限聚令的前提，你想去哪里都可以反观内地的防疫 ​  展开c"
防疫,"
                    确实很刚！项立刚发文怒怼美国人：一个美国人对中国防疫提建议？美国S了100万人了，你怎么不提？项立刚发文称，一个美国人发长文对上海防疫提出建议：打复必泰疫苗，居家隔离，自我检测，买辉瑞的药！项立刚表示，这个叫张风的美国人，美国新冠S了100万了，你还跑来跟中国人提建议；美国更加需要 ​  展开c"
防疫,#上海要求封控管理期间人员足不出户# 求不要再吹浙江医疗团队的防疫水平了，都是活生生的人，医疗资源不足的情况下，大量基层人员，缺乏最最基本的医学常识，是完全无法代替专业医生的，换了是哪里都会崩溃的。只求疫苗三针率尽快提上去，社会层面尽可能延缓疫情扩散吧。。。 ​                
防疫,"
                    重国极大部分人的人生信条就是【你的死活不重要，我的权威有没有得到贯彻很重要。】家长逼孩子的时候管孩子死活了吗？男领导灌女员工酒的时候管女生死活了吗？丈夫逼妻子辞职生孩子的时候管妻子死活了吗？你越反抗哭得越大声，他征服你的时候就越有快感。这些人在沾上防疫相关工作的时候弄死了人 ​  展开c"
防疫,#南宁百盛 防疫##南宁疫情# 那边16号封控，你17号就从你们那坐飞机来到南宁，也不报备，疫情期间还去北海玩。人家工作人员找到你，你恶言相向，有什么事人家说了可以投诉可以好好解决，你不，偏偏闹得人尽皆知，丢脸吗？你对工作人员不尊重，现在还在网上开地图炮地域黑！你有点脑子好吗！@幻影丶奈 ​                
防疫,"
                    又被新闻emo到了#上海浦东一例哮喘病人因120拒绝救援病亡# 这里面的几个责任方1. 出车医生：被骂得最惨，但倒不一定是因为防疫要求而拒绝施救，放平时他可能也会这么做；2. 急救系统：为什么救护车一个半小时才到场？按理说封城之下路面通畅，救护车应该比平时更快到场。是否存在救护车被大 ​  展开c"
防疫,#皖警战疫# 【我的岗位我负责，我是党员我带头】#疫情当前警察不退# “疫情就是命令，防控就是责任！”疫情出现以来，淮南市公安局@潘集公安在线 芦集派出所民警、辅警日夜奋战在防疫一线，党员带头、坚守岗位，守护群众的生命健康安全。#等疫情结束你最想干什么# L淮南公安在线的微博视频 ​                
防疫,#汕头大学防疫#真能啊 ​                
防疫,#上海新增确诊355例无症状5298例#【居家隔离之防疫防火】 近期疫情形势严峻，为积极配合防疫要求，不少居民自觉减少外出，居家办公和学习。 消防部门温馨提醒：居家防疫时也要注意防火呀~~@荆门消防 L湖北消防的微博视频 ​                
防疫,玉溪师范学院真的希望早点出整改措施了，打着防疫的口号，老师随便出入，子女还随便来学校，西门天天看见！学生请假基本不批，四百多度的眼镜坏了，请假说是防疫，叫坚持坚持！坚持他，，！学校眼镜店也被弄出去了！他祖宗哦！ ​                
防疫,"
                    【防疫微剧场|喂！您有一份快递请查收】#这里是青白江# 疫情之下，网购不用怕！记住这几句口诀：做防护，少接触。消包装，清手部。做好个人防护，快递放心收。#关注新冠肺炎疫情##成都至上海一高铁出现确诊病例##成都至上海一高铁列车长确诊##四川疫情# L成都青白江的微博视频 ​                "
防疫,#北京理工大学珠海学院##疫情下广东高校的防疫举措##珠海# 哈哈哈 向川大学习 川大学生起义之后就解封了 我们封了一个多月周周核酸 最后来了个老师密接 医护人员每天鞠躬尽瘁为其几千几万个学生做核酸不辛苦吗？保安不辛苦吗？学生老师每天上课带口罩不辛苦吗？就您领导道貌岸然高高在上的样貌等着政府 ​  展开c
防疫,"
                    感觉疫情结束后，让负责防疫的部门去负责食品药品监管，应该能解决食品安全问题。 ​                "
防疫,"
                    当你说“防疫手段能不能人性化一点”，他们说“一线防疫人员已经那么辛苦你有什么资格指责他们？不要寒了他们的心。”我：“？？”当你说“到现在这个程度是不是可以探讨逐步放开的可能性？”他们说“你家没有老人吗，不在乎老人的死活？”我：“？？？”就这帮平时遇到别人悲惨呼救都闭上眼睛假装看 ​  展开c"
防疫,#韩国疫情# 据韩国中央防疫对策本部3月31日通报，30日0时~24时，#韩国国内新增320743例新冠确诊病例#，累计确诊13095631例；新增住院1715例，在院危重症1315例；新增死亡375例，累计死亡16230例。新增确诊患者中，320719例是地区社会感染。24例是海外流入病例。 ​                
防疫,"
                    谭博新文：中国防疫进退两难 生物战，国人应该警醒！战争目标就是给中国人和中国经济最大打击。廉价又好用的措施是有，但生物战的执行方（听国际指挥的卫生部门人员）不答应啊。 ​                "
防疫,#厦大食堂有多好吃#芙蓉餐厅美食大赏!羊肉煲，铁板螺纹粉，鸡丝油泼面……令人垂涎欲滴，食指大动。原来有种幸福叫做吃厦大食堂～大家在享受食堂美食的同时，防疫也不可大意，一桌最多两人，鼓励外带哦！ (📷｜厦门大学新闻中心) L厦门大学的微博视频 ​                
防疫,汕头大学#汕头大学##汕头大学防疫# 整破防了 ​                
防疫,"
                    目前，一些西方媒体正在把许多中国网民对上海的不满，直接说成是中国人已经无法忍受限制性防疫措施，中国的限制性政策马上就要崩盘了。 ​                "
防疫,"
                    虽然我29号做过核酸了，但是社区叫我忽略这条短信，我还是再做个核酸吧#南宁疫情##南宁百盛 防疫# 2南宁 ​                "
防疫,#浦东拒借除颤仪医生被停职#“谢谢”上海，自己摆烂，把刚刚改善的医护关系，各省市之间的健康码和核酸互信，分级防疫政策的默契，摧毁得一干二净 ​                
防疫,"
                    前几天发了新歌《Air force》由于特殊时期没有发微博宣传，还没听的朋友可以赶紧去网易云听听看这十几天一直在上海 ，上海疫情较严重，超市几乎都被抢空了， 我抢到了一颗莴笋 买成18.8元  大家一定要做好防疫措施，一定要积极配合医务人员的工作安排。我想录歌 想演出 想见到大家  ​  展开c"
防疫,"#泉州疫情最新情况# 【泉州南安梅山这家人超有爱！连续半个月，为防疫人员无偿送饭】“小戴，吃饭了，今天有红烧带鱼，趁热吃啊……”中午11点半，家住梅山镇埔仔村的陈明珠和媳妇戴真真端着热腾腾的饭菜前往埔仔村角后路口的交通劝导站给防疫工作人员们送餐，这样的日子已持续了大半个月。
陈明珠 ​ 展开c"
防疫,#汕头大学防疫#没救了...现在每吃两口饭不刷一下微博就难受 ​                
防疫,#汕头大学防疫# 调研到什么时候🙃不能说你发了个公告没头没尾的我们就妥协了吧，要不就干脆在大礼堂外面搭个台子，就让领导坐在那回答学生的问题，出来正面沟通好吧
防疫,#守护香港# 【全城抗疫 万众一心】新增病例回落，我们见证了社会各界以坚毅、温情谱写的抗疫篇章。2月以来，超百万份抗疫物资包通过不同渠道发至市民手中，4月更有350万份包含连花清瘟胶囊等必需品的“防疫服务包”将爱派至全港。各界同心，香港一定赢！ L大公報-大公網的微博视频 ​                
防疫,"
                    【16岁女生当防疫志愿者与妈妈一本正经对话】3月26日，上海。16岁女孩当防疫志愿者查到自己家时“六亲不认”，与妈妈对话时假装不认识，下一秒俩人全都笑喷。女生妈妈王女士介绍，听到敲门声就猜到是女儿，女儿从小经常参加公益活动，自己也都支持，为女儿感到骄傲。 L双流发布的微博视频 ​                "
防疫,#同心抗疫# #泉州疫情# 恒安集团再捐1000万元现金！全力支持“关爱新晋江人募捐”活动。这是泉州本轮疫情发生以来，恒安集团第二次捐赠。此前，为了支持泉州防疫，恒安集团通过泉州红十字会捐赠2000万元。 ​                
防疫,#汕头大学防疫#由于个人能力有限，我只能每天自发进行罢课活动来表达不满与抗议！ ​                
防疫,#吉林扑杀伴侣动物##廊坊扑杀伴侣动物# 毫无人性，防疫防疫防的是什么？家养动物对于主人来说已经是家人一样的存在，这和杀了自己亲人有什么区别？这是对生命的尊重？丑陋无比 ​                
防疫,#上海新增确诊355例无症状5298例#你抱怨出不来的门😷是无数防疫工作者回不去的家​致敬白衣天使和大白们 ​                
防疫,#河南部分高校加强封闭管理调整清明假期#直接放假吧，真的累了，在学校吃不好睡不好，还要被学校各种折磨，今天做核酸，明天强制签防疫书，又把各种快递堵死，餐厅饭不干净，我真的累了，我想回家 ​                
防疫,"#疫情防控不放松# #吉祥在行动# 吉祥航空始终秉承着均瑶母集团为社会创造价值的伟大使命，在集团统一组织下，采购首批近3万件防疫物资于昨日连夜抵达上海。

利用广州-上海与成都-上海两个航班，共运输医用N95口罩2.3万个、医用防护服5000余件，采购与自捐防疫物资由均瑶集团统一捐赠至上海防疫一线。
​ 展开c"
防疫,"
                    hi好久不见 我带着我的日常来啦1.和朋友去莫干山看了日出 前晚等到了早上5点2.拍到了好看的雪景照3.古耐好像又肥了一些4.我做的减脂餐很不错5.拆到好看的快递6.最近爱用护手霜7.和朋友的咖啡店日常8.大莫之野还要再来一次9.今年一定要多自拍10.我收到了防疫物资 我爱中国11.火鸡面真的好好 ​  展开c"
防疫,#汕头大学防疫#你们说有没有一种可能，汕头的疫情其实很严重，但是上面压下来了大家都不知道，只有校领导知道，所以他们才这么严肃对待 ​                
防疫,"
                    象我这个年龄段的人，现在最怕的就是家里老的小的在疫情期间生病，所以我昨天也和我的小姐妹説了，现在要把一些应急的药，心血管的救命药备好。但是，我还是要説，如果家里有人生病，请不要管什么防疫zZ之类的，人命大过天，该用非常手段地也要用上，我这样讲，肯定不守法的，但是如果我家里有人要就 ​  展开c"
防疫,#四川疫情#我焯你吗，老子乐山人在成都，你这整一出我清明节雀食不用回家了。啥b咖啡市防疫 ​                
防疫,#枣庄青年志愿者奔赴抗疫一线# 【迅速集结，青年志愿者奔赴核酸检测第一线】疫情就是命令，防控就是责任。自枣庄疫情发生以来，各级团组织坚决贯彻市委、市政府关于疫情防控工作决策部署，闻令而动，积极作为，组建66支防疫志愿服务队（突击队）、储备志愿者3184名，上岗1741人，展现出党的助手和后备 ​  展开c
防疫,#武汉高校清明假期安排引吐槽# 武汉的领导真应该去上海展现一下他们的防疫实力 ​                
防疫,#我要上同城精选#还有3个月就要高考了！小编在这里找到一份语文诗词的押题卷，希望对童鞋们有所帮助汕头大学#汕头大学防疫##汕头大学# 2汕头 ​                
防疫,"
                    帮师弟妹们浅拉一个票，有一说一读书以来最美好的时候就在大学，疫情当头的时候已经丢失了一段时间，不应该因为这个所谓的防控（说白了只是为了那些领导层的人省事），让师弟妹们也没能享受到真正属于他们的大学时光#汕头大学防疫##汕头大学防疫双标# ​                "
防疫,#郑州大学#宿舍楼前门进后门出，这项措施可以防疫的工作原理是什么？ ​                
防疫,"
                    【情况通报】徐某某（男，39岁，珠海人）3月27日乘飞机由中高风险地区所在市返回珠海，于当日13时许入住珠海香洲区某酒店。徐某某抵珠后未严格落实有关防疫要求，多次到公共场所活动，引发疫情传播风险，其行为涉嫌违反疫情防控相关规定，对其上述行为，公安等部门已依法启动调查程序予以处理。当前 ​  展开c"
防疫,#官方回应上海哮喘老人救助无效去世#为什么别的地方一有事就是问责一把手，而上海官员没一个问责的，这么严重的疫情了，官员一点责任也没？人医生不也是遵守你们的防疫政策？我不理解？难道上海特殊？ ​                
防疫,rng我是真的服了上海，深圳这么好的防疫方法抄都抄不会，我们四川都没有几例都被祸害了，还能上热搜，上海是你爹？ ​                
防疫,#上海官方诚恳接受大家批评# 前期确实估计不足，希望后面能赶紧改进，不但要防疫，更要做好老百姓的生活后勤保障！特殊时期，才是真正考验一座城市的综合治理水平…#雍容大度我心飞扬# L张胜军的微博视频 ​                
防疫,"
                    【湖州长兴县在集中隔离点发现1例新冠病毒阳性感染者】3月31日， 长兴县新型冠状病毒肺炎疫情防控工作领导小组办公室通报：3月31日上午，长兴县在集中隔离点发现1例新冠肺炎病毒初筛阳性人员，经湖州市疾控中心复核确诊为阳性感染者。该人员携子于3月30日晚从外省市自驾到长兴，在高速出口防疫检查发现 ​  展开c"
防疫,#南宁百盛 防疫#妈的所以南宁的疫情管控到底在管控什么啊？？就管控大学生？？上海都他妈毒区了还让上海来的b人到处乱窜？？大学生真的会被气的睡不着觉我真的谢谢 ​                
防疫,#长春宽城 防疫##长春身边事# 我都要笑死啦 这个之前发的竟然会被河蟹 被哔掉 真的笑死啦 控评真有你的 我还要继续发 呵呵呵 失望至极 ​                
防疫,#齐鲁理工学院分发防疫福袋##疫情下的山东大学生日常# 感谢齐鲁理工给的暖心包。奥利奥很好吃#山东高校抗疫日记# 🎥｜@陈平安 L济南校园的微博视频 ​                
防疫,#汕头大学防疫# 都是成年人了，尽点责任吧，掌握那么多的权利却只知道滥用，怎么教书育人啊。别再躲在权利后面逃避责任了，做个成年人吧@汕头大学 ​                
防疫,#四川乐山疫情#为什么一堆人说不能去乐山？是在犍为啊 乐山目前的码还是绿码 也没带星啊 遵守防疫要求出行就好了 譬如到乐山之前做一次核酸啊 从乐山离开之前做一次核酸 不懂高铁站的话 如果不能出行 肯定会有通告啊 ​                
